DayOfWeek,Location,Temperature,#retweets,#followers,label
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,3554,Big mood: https://t.co/PXgpPhhViz
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],8.67,0,523,Im getting more and more excited for my sisters wedding now ❤️❤️❤️😭 https://t.co/Dc0tyBcdsq
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],14.2,0,3392,This one is for all us 70’s kids !! #thenextcrimefightingduo @johnscotbarrowman #WonderWoman 💋💋💋 https://t.co/1xh8q2YGNL
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],8.67,0,881,some new work with @Pluto__Mars. (album still on heavy rotation!) https://t.co/O1Y1qAhwDX
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],8.67,0,9347,"Delicious meal at @copperspoonoak last night, charged with small delights. Salmon crudo with pickled gooseberries a… https://t.co/gF1sxfR6Ho"
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],8.67,0,106,Taking the ferry to #sanfrancisco @ Alameda/Oakland Ferry Pier https://t.co/xjof6fszoN
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,108,Be willing to walk alone. Many who started with you won't finish… https://t.co/5KkiDTSNQ2
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],8.67,0,1665,"This #job might be a great fit for you: Bilingual Part Time Retail Sales Consultant - https://t.co/aJLbTgUkhx #Retail #Oakland, CA #Hiring"
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],12.600000000000001,0,152,Ugh i wish i could go with my dad to Mexico 💔
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],14.2,0,578,I’m still trying to go see @NiallOfficial at poptopia but these ticket prices won’t go down 😢💔
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],8.67,0,562,I love how fun it is being around Paloma and Yareli
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],8.67,0,211,I feel horrible hahha
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],8.67,0,10,Half of the toll plaza is shut down cuz some drunk fuck decided to crash into it.
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,4992,@whirlwtind HONESTLY HAVE NO IDEASCVHB she won me jingleball tix too hdjdjs WHAT THE FUCKSK
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,103,Wait... after Pence is Paul Ryan???? That’s why he has that Cheshire Cat smile when trump comes up. https://t.co/HqBgfiEbZP
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],14.2,0,12015,My show! 🤪 https://t.co/LVLbNT9y3p
